Agency & Subagency Name,Sorting Code,Reporting Level_2015,Response Count_2015,Employee Engagement: Overall_2015,Employee Engagement: Leaders Lead_2015,Employee Engagement: Supervisors_2015,Employee Engagement: Intrinsic Work Experience_2015,HCAAF: Leadership and Knowledge Management_2015,HCAAF: Results-Oriented Performance Culture_2015,HCAAF: Talent Management_2015,HCAAF: Job Satisfaction_2015,New IQ: Overall_2015,New IQ: Fair_2015,New IQ: Open_2015,New IQ: Cooperative_2015,New IQ: Supportive_2015,New IQ: Empowered_2015,Global Satisfaction_2015,Reporting Level_2016,Response Count_2016,Employee Engagement: Overall_2016,Employee Engagement: Leaders Lead_2016,Employee Engagement: Supervisors_2016,Employee Engagement: Intrinsic Work Experience_2016,HCAAF: Leadership and Knowledge Management_2016,HCAAF: Results-Oriented Performance Culture_2016,HCAAF: Talent Management_2016,HCAAF: Job Satisfaction_2016,New IQ: Overall_2016,New IQ: Fair_2016,New IQ: Open_2016,New IQ: Cooperative_2016,New IQ: Supportive_2016,New IQ: Empowered_2016,Global Satisfaction_2016,Reporting Level_2017,Response Count_2017,Employee Engagement: Overall_2017,Employee Engagement: Leaders Lead_2017,Employee Engagement: Supervisors_2017,Employee Engagement: Intrinsic Work Experience_2017,Global Satisfaction_2017,New IQ: Overall_2017,New IQ: Fair_2017,New IQ: Open_2017,New IQ: Cooperative_2017,New IQ: Supportive_2017,New IQ: Empowered_2017,HCAAF: Leadership and Knowledge Management_2017,HCAAF: Results-Oriented Performance Culture_2017,HCAAF: Talent Management_2017,HCAAF: Job Satisfaction_2017,Reporting Level_2018,Response Count_2018,Employee Engagement: Overall_2018,Employee Engagement: Leaders Lead_2018,Employee Engagement: Supervisors_2018,Employee Engagement: Intrinsic Work Experience_2018,Global Satisfaction_2018,New IQ: Overall_2018,New IQ: Fair_2018,New IQ: Open_2018,New IQ: Cooperative_2018,New IQ: Supportive_2018,New IQ: Empowering_2018,Reporting Level_2019,Response Count_2019,Employee Engagement: Overall_2019,Employee Engagement: Leaders Lead_2019,Employee Engagement: Supervisors_2019,Employee Engagement: Intrinsic Work Experience_2019,Global Satisfaction_2019,New IQ: Overall_2019,New IQ: Fair_2019,New IQ: Open_2019,New IQ: Cooperative_2019,New IQ: Supportive_2019,New IQ: Empowering_2019,Reporting Level_2020,Response Count_2020,Employee Engagement: Overall_2020,Employee Engagement: Leaders Lead_2020,Employee Engagement: Supervisors_2020,Employee Engagement: Intrinsic Work Experience_2020,Global Satisfaction_2020,Subsetting Code_2022,Reporting Level_2022,Response Count_2022,Employee Engagement: Overall_2022,Employee Engagement: Leaders Lead_2022,Employee Engagement: Supervisors_2022,Employee Engagement: Intrinsic Work Experience_2022,Global Satisfaction_2022
Governmentwide,GOV,Governmentwide,"421,748",0.64,0.51,0.71,0.69,0.59,0.52,0.57,0.64,0.57,0.43,0.56,0.52,0.75,0.57,0.6,Governmentwide,407789,0.65,0.53,0.72,0.7,0.6,0.53,0.58,0.65,0.58,0.45,0.57,0.54,0.75,0.58,0.61,Governmentwide,486105,0.67,0.55,0.74,0.71,0.64,0.6,0.47,0.59,0.57,0.77,0.59,0.62,0.54,0.59,0.66,Governmentwide,598003,0.67645355,0.56084281,0.75250746,0.71601037,0.64374253,0.6102467,0.48325387,0.60300383,0.58034323,0.78210118,0.60253138,Governmentwide,615395,0.68483824,0.57090582,0.76217133,0.72143756,0.64924976,0.62070441,0.4944852,0.6129174,0.59455745,0.79045225,0.61110978,Governmentwide,624800,0.72447792,0.61573887,0.80231001,0.75538488,0.6872763,GOV,Governmentwide,557778.0,0.70543273,0.5922603,0.79727759,0.72676029,0.61691133
Department of Commerce,CM,Agency,"10,129",0.68,0.56,0.77,0.72,0.62,0.6,0.62,0.68,0.63,0.54,0.61,0.56,0.81,0.6,0.67,Agency,9784,0.69,0.57,0.78,0.73,0.63,0.6,0.63,0.69,0.63,0.55,0.62,0.56,0.82,0.62,0.68,Agency,10480,0.71,0.58,0.8,0.74,0.7,0.66,0.57,0.65,0.6,0.84,0.63,0.65,0.62,0.64,0.69,Agency,20725,0.71441194,0.60119928,0.7981199,0.74391664,0.70653783,0.65730379,0.5762386,0.64839244,0.60050663,0.83050451,0.63087677,Agency,19847,0.72617735,0.61544285,0.81404344,0.74904576,0.71061852,0.67038208,0.58583664,0.6600119,0.61968865,0.84457958,0.64179363,Agency,21310,0.76040277,0.65457814,0.84348297,0.78314721,0.73709014,CM,Agency,21009.0,0.75102522,0.64713993,0.84442971,0.76150602,0.67068671
National Oceanic and Atmospheric Administration,CM09,Level 1,"2,182",0.64,0.48,0.73,0.71,0.56,0.53,0.55,0.66,0.58,0.46,0.56,0.5,0.79,0.58,0.64,Level 1,2121,0.65,0.49,0.74,0.73,0.57,0.55,0.57,0.68,0.59,0.48,0.57,0.5,0.79,0.6,0.66,Level 1,1984,0.67,0.52,0.76,0.72,0.68,0.62,0.51,0.6,0.57,0.81,0.61,0.6,0.57,0.58,0.69,Level 1,5448,0.69201538,0.56145682,0.76255447,0.75203485,0.69795518,0.63181821,0.51877527,0.62347292,0.57655951,0.80522957,0.63505381,Level 1,5274,0.70683053,0.57627788,0.78143387,0.76277985,0.7145792,0.6515847,0.53347823,0.64463928,0.60348973,0.82024845,0.65606781,Level 1,5022,0.7630096,0.654789,0.82508365,0.80915616,0.7662203,CM09,Level 1,4650.0,0.73838997,0.61480846,0.82375524,0.7766062,0.68358336
"National Environmental Satellite, Data & Information Service",CM0901,Level 2,219,0.58,0.44,0.69,0.62,0.54,0.5,0.48,0.58,0.54,0.45,0.56,0.47,0.75,0.47,0.51,Level 2,182,0.62,0.44,0.75,0.68,0.54,0.53,0.51,0.6,0.55,0.45,0.57,0.43,0.81,0.51,0.53,Level 2,159,0.65,0.5,0.79,0.67,0.62,0.59,0.51,0.63,0.48,0.8,0.55,0.58,0.58,0.54,0.67,Level 2,445,0.6627603,0.52519122,0.77680525,0.68628442,0.6268907,0.5977219,0.4963816,0.62793703,0.48127961,0.8258034,0.55720786,Level 2,348,0.67487746,0.53707006,0.79244979,0.69511253,0.6126469,0.62577261,0.53715479,0.6705478,0.503246,0.84606356,0.57185089,Level 2,315,0.77589671,0.67520831,0.85979644,0.79268539,0.71775823,CM0901,Level 2,330.0,0.76188089,0.65810014,0.85260445,0.77493808,0.67258357
NESDIS Headquarters & OSAAP,CM090101,Level 3,29,0.51,0.35,0.6,0.58,0.5,0.44,0.41,0.55,0.47,0.37,0.53,0.38,0.69,0.37,0.44,Level 3,31,0.69,0.55,0.78,0.74,0.62,0.62,0.65,0.68,0.65,0.59,0.64,0.56,0.81,0.64,0.59,Level 3,36,0.81,0.7,0.88,0.83,0.79,0.76,0.71,0.72,0.74,0.87,0.77,0.76,0.71,0.7,0.77,Level 3,69,0.73225846,0.67119607,0.77346841,0.75211091,0.70689391,0.65688765,0.59047155,0.65774442,0.60638866,0.79071358,0.63912006,Level 3,63,0.75915805,0.6855502,0.80886754,0.78305643,0.71740787,0.72187445,0.67362758,0.76334111,0.63096633,0.8457028,0.69573442,Level 3,64,0.85424054,0.7735365,0.91092717,0.87825794,0.83351459,CM0901,Level 3,72.0,0.80588921,0.77127752,0.86047384,0.78591626,0.66793745
Joint Polar Satellite System (JPSS) Program Office,CM090103,Level 3,23,0.64,0.6,0.73,0.59,0.63,0.47,0.56,0.55,0.61,0.51,0.65,0.67,0.79,0.46,0.49,Level 3,20,0.7,0.6,0.79,0.71,0.63,0.57,0.6,0.6,0.59,0.45,0.56,0.51,0.82,0.6,0.66,Level 3,11,0.75,0.55,0.83,0.89,0.69,0.64,0.54,0.62,0.56,0.78,0.7,0.59,0.62,0.62,0.74,Level 3,17,0.7410145,0.63973993,0.81978118,0.76352238,0.80035039,0.65295686,0.58293622,0.72996694,0.51168084,0.85595064,0.58424967,Level 3,15,0.77747117,0.77049341,0.85480021,0.7071199,0.59553102,0.73506268,0.55161841,0.81875449,0.76535505,0.91098583,0.62859964,Level 3,12,0.68949463,0.5060094,0.77221135,0.79026312,0.69297198,CM0901,Level 3,13.0,0.6552454,0.5533901,0.87209546,0.54025066,0.61446399
"Office of Projects, Partnerships, and Analysis",CM090104,Level 3,15,0.56,0.34,0.68,0.65,0.48,0.54,0.41,0.51,0.52,0.52,0.44,0.36,0.77,0.52,0.37,Level 3,18,0.62,0.59,0.68,0.59,0.61,0.59,0.61,0.6,0.63,0.72,0.6,0.61,0.73,0.5,0.62,Level 3,21,0.57,0.54,0.6,0.57,0.5,0.52,0.53,0.6,0.4,0.64,0.41,0.55,0.49,0.53,0.55,Level 3,14,0.55885391,0.44785835,0.68372202,0.54498137,0.42553655,0.53030939,0.36706112,0.51318676,0.57372241,0.76692197,0.43065471,Level 3,13,0.6566628,0.60470788,0.68805437,0.67722616,0.60880652,0.62233011,0.48568178,0.69576046,0.61363887,0.73737065,0.57919877,Level 3,12,0.7593216,0.83735884,0.7270754,0.71353055,0.63777498,CM0901,Level 3,14.0,0.87384704,0.83885013,0.98721951,0.79547147,0.77840825
Office of Satellite & Product Operations,CM090105,Level 3,26,0.56,0.34,0.7,0.64,0.46,0.51,0.41,0.53,0.54,0.51,0.55,0.41,0.81,0.43,0.38,Level 3,25,0.56,0.37,0.66,0.65,0.51,0.5,0.46,0.54,0.48,0.39,0.49,0.34,0.77,0.41,0.54,Level 3,24,0.6,0.43,0.77,0.6,0.65,0.52,0.44,0.55,0.36,0.77,0.49,0.5,0.55,0.49,0.67,Level 3,134,0.65642832,0.50964376,0.76182209,0.69781911,0.69036478,0.59466852,0.48389893,0.63494564,0.46700296,0.82260247,0.56489261,Level 3,85,0.66052136,0.51783825,0.79232126,0.67140456,0.68104767,0.61879645,0.50430797,0.6559776,0.50344116,0.85696047,0.57329507,Level 3,73,0.74074216,0.64581741,0.82749148,0.74891761,0.72587207,CM0901,Level 3,64.0,0.73648822,0.60418257,0.85491346,0.75036865,0.7169672
Center for Satellite Applications and Research,CM090106,Level 3,39,0.54,0.35,0.71,0.58,0.46,0.5,0.46,0.56,0.5,0.37,0.49,0.42,0.75,0.45,0.5,Level 3,27,0.6,0.44,0.73,0.62,0.52,0.52,0.36,0.56,0.54,0.46,0.58,0.41,0.86,0.37,0.38,Level 3,21,0.56,0.34,0.78,0.55,0.49,0.52,0.39,0.57,0.41,0.85,0.35,0.5,0.48,0.31,0.59,Level 3,39,0.69686291,0.63225314,0.82641306,0.63192252,0.59622789,0.60766348,0.56416974,0.63935947,0.48584004,0.84929905,0.49964908,Level 3,33,0.72466374,0.647021,0.84986492,0.67710531,0.6098284,0.65108892,0.60822093,0.7245848,0.52544921,0.88161022,0.51557945,Level 3,37,0.75317676,0.72318032,0.81050231,0.72584764,0.67011606,CM0901,Level 3,33.0,0.67579297,0.54709733,0.75784214,0.72243944,0.48677156
Office of Satellite Ground Services,CM090107,Level 3,28,0.78,0.73,0.82,0.78,0.76,0.65,0.73,0.77,0.7,0.57,0.7,0.7,0.83,0.7,0.74,Level 3,21,0.52,0.34,0.68,0.55,0.46,0.46,0.43,0.57,0.48,0.42,0.47,0.32,0.79,0.42,0.42,Level 3,25,0.52,0.41,0.65,0.49,0.46,0.54,0.46,0.66,0.5,0.71,0.35,0.53,0.46,0.42,0.5,Level 3,42,0.64093573,0.4900477,0.79840378,0.63435572,0.51952123,0.59608475,0.45664226,0.69025243,0.49577126,0.83046968,0.50728811,Level 3,28,0.55090888,0.3436831,0.7651491,0.54389444,0.42640453,0.56326617,0.54249439,0.58236725,0.46014615,0.80955919,0.42176389,Level 3,20,0.72334046,0.56004235,0.86901267,0.74096634,0.57198751,CM0901,Level 3,18.0,0.61542434,0.52067778,0.66002103,0.66557422,0.54557649
National Center for Environmental Information,CM090108,Level 3,24,0.54,0.34,0.68,0.6,0.48,0.5,0.41,0.54,0.53,0.5,0.54,0.45,0.71,0.46,0.51,Level 3,32,0.65,0.4,0.82,0.73,0.53,0.51,0.51,0.6,0.56,0.4,0.6,0.4,0.85,0.57,0.5,Level 3,18,0.67,0.45,0.83,0.74,0.59,0.59,0.48,0.63,0.39,0.86,0.6,0.57,0.59,0.59,0.68,Level 3,121,0.61243624,0.4100536,0.76610116,0.66115395,0.53724587,0.55065477,0.44928872,0.56461007,0.37687057,0.83819344,0.52431107,Level 3,104,0.63044275,0.4326587,0.76554441,0.69312513,0.53957454,0.55522912,0.44711484,0.59932478,0.36830057,0.83214238,0.52926304,Level 3,90,0.77430602,0.62637947,0.88600318,0.81053541,0.68630453,CM0901,Level 3,101.0,0.78004874,0.63723147,0.87942607,0.82348868,0.69540207
National Marine Fisheries Service,CM0902,Level 2,729,0.63,0.46,0.73,0.7,0.54,0.51,0.51,0.65,0.56,0.44,0.53,0.49,0.78,0.55,0.63,Level 2,680,0.64,0.49,0.73,0.72,0.56,0.53,0.55,0.66,0.57,0.44,0.55,0.48,0.79,0.59,0.65,Level 2,652,0.69,0.56,0.77,0.75,0.7,0.63,0.51,0.6,0.59,0.84,0.61,0.63,0.58,0.6,0.69,Level 2,1824,0.70539083,0.57431602,0.77819501,0.76366147,0.7098026,0.63206073,0.50510044,0.6126591,0.58259579,0.82723466,0.63271364,Level 2,1565,0.71150783,0.57645346,0.79167965,0.76639037,0.71274109,0.6451158,0.51503449,0.62250183,0.59507292,0.83726473,0.65570503,Level 2,1619,0.76143687,0.64241902,0.84132946,0.80056212,0.75665558,CM0902,Level 2,1493.0,0.73413884,0.60309973,0.8326803,0.76663649,0.66626554
Office of the Assistant Administrator for Fisheries,CM090201,Level 3,31,0.67,0.6,0.71,0.7,0.58,0.49,0.51,0.63,0.53,0.5,0.47,0.39,0.74,0.54,0.58,Level 3,34,0.71,0.64,0.76,0.73,0.64,0.57,0.67,0.67,0.66,0.53,0.63,0.66,0.8,0.68,0.73,Level 3,24,0.79,0.75,0.76,0.84,0.79,0.67,0.6,0.67,0.61,0.77,0.71,0.7,0.67,0.67,0.75,Level 3,44,0.77425935,0.70930588,0.7658769,0.84759527,0.78584279,0.71530256,0.60250347,0.65820315,0.75698632,0.80741676,0.75140312,Level 3,33,0.79931748,0.74397464,0.83303263,0.82094516,0.82099314,0.77078318,0.69287363,0.70119993,0.80169652,0.87654965,0.78159616,Level 3,40,0.83123124,0.78329814,0.82409657,0.886299,0.83980647,CM0902,Level 3,40.0,0.7564155,0.58101023,0.87539002,0.81284623,0.65581006
Office of Protected Resources,CM090202,Level 3,32,0.66,0.5,0.73,0.74,0.55,0.48,0.54,0.65,0.55,0.4,0.46,0.51,0.78,0.59,0.64,Level 3,44,0.71,0.56,0.83,0.75,0.63,0.61,0.64,0.73,0.64,0.55,0.62,0.51,0.85,0.67,0.75,Level 3,30,0.71,0.59,0.73,0.8,0.8,0.59,0.48,0.56,0.46,0.77,0.68,0.61,0.57,0.58,0.73,Level 3,50,0.68324317,0.5162514,0.77912822,0.75434988,0.66599453,0.63018557,0.50110076,0.61520361,0.60831798,0.81394522,0.61236031,Level 3,51,0.72594449,0.58105213,0.83198727,0.76479406,0.7342814,0.67676349,0.55834042,0.64328202,0.60076439,0.89369079,0.68773985,Level 3,51,0.72136384,0.60207901,0.79180681,0.77020571,0.74933194,CM0902,Level 3,44.0,0.77394603,0.59085332,0.89493843,0.83604635,0.72719136
Office of Sustainable Fisheries,CM090203,Level 3,33,0.78,0.72,0.81,0.82,0.69,0.62,0.63,0.73,0.67,0.53,0.62,0.61,0.83,0.74,0.74,Level 3,29,0.75,0.69,0.83,0.74,0.7,0.63,0.66,0.7,0.65,0.52,0.67,0.54,0.85,0.67,0.69,Level 3,40,0.81,0.74,0.86,0.81,0.82,0.72,0.58,0.66,0.72,0.88,0.74,0.78,0.66,0.77,0.76,Level 3,49,0.8206799,0.78912858,0.86694963,0.80596151,0.79343449,0.78155746,0.67067217,0.73808087,0.85836062,0.90428007,0.73639357,Level 3,43,0.781569,0.71789578,0.81735391,0.80945732,0.7950802,0.71433521,0.57574409,0.72017643,0.71928367,0.85181678,0.70465508,Level 3,42,0.79529672,0.70011913,0.88094341,0.80482762,0.73385574,CM0902,Level 3,35.0,0.7937526,0.71527043,0.82187563,0.84411174,0.71551822
Office of Habitat Conservation,CM090204,Level 3,33,0.76,0.69,0.77,0.81,0.67,0.61,0.62,0.77,0.71,0.59,0.62,0.76,0.86,0.72,0.81,Level 3,27,0.79,0.65,0.88,0.83,0.7,0.67,0.7,0.78,0.7,0.55,0.65,0.67,0.93,0.73,0.9,Level 3,29,0.73,0.57,0.82,0.81,0.8,0.67,0.58,0.57,0.62,0.87,0.72,0.61,0.64,0.71,0.77,Level 3,77,0.76180124,0.63504032,0.83807874,0.81228465,0.85344244,0.72068338,0.62267544,0.67989641,0.66809852,0.87039121,0.76235534,Level 3,59,0.79814791,0.68525553,0.87584654,0.83334167,0.84752904,0.76553465,0.66787299,0.73525635,0.72398707,0.90676132,0.79379554,Level 3,70,0.84347459,0.73957703,0.91992474,0.87092202,0.902535,CM0902,Level 3,80.0,0.80341617,0.71054132,0.86740481,0.8323024,0.77730243
Office of Science and Technology,CM090205,Level 3,38,0.77,0.7,0.84,0.78,0.72,0.59,0.68,0.73,0.69,0.55,0.72,0.63,0.84,0.71,0.83,Level 3,26,0.65,0.55,0.67,0.72,0.58,0.52,0.6,0.68,0.57,0.48,0.59,0.51,0.73,0.56,0.7,Level 3,34,0.77,0.64,0.87,0.81,0.84,0.7,0.57,0.72,0.62,0.84,0.75,0.7,0.69,0.66,0.8,Level 3,47,0.79715717,0.66014592,0.88587157,0.84545401,0.83954508,0.72070882,0.61115934,0.70661048,0.66974381,0.88792367,0.72810681,Level 3,38,0.8143764,0.65017667,0.94501845,0.84793409,0.83193973,0.72818842,0.61067434,0.69741599,0.65996479,0.92151308,0.7513739,Level 3,45,0.80659534,0.69160418,0.90419664,0.82398519,0.79644328,CM0902,Level 3,43.0,0.80967122,0.73194053,0.89989861,0.79717453,0.69373984
Office of Management and Budget,CM090206,Level 3,36,0.47,0.37,0.5,0.55,0.42,0.4,0.39,0.54,0.43,0.35,0.37,0.41,0.62,0.39,0.45,Level 3,36,0.6,0.52,0.66,0.61,0.56,0.52,0.56,0.59,0.53,0.49,0.51,0.43,0.76,0.47,0.58,Level 3,26,0.67,0.55,0.72,0.74,0.72,0.59,0.4,0.59,0.58,0.8,0.58,0.61,0.56,0.61,0.65,Level 3,36,0.67592839,0.57223309,0.69163825,0.76391384,0.68138665,0.6231352,0.5442752,0.60217737,0.60006861,0.70434295,0.66481188,Level 3,44,0.81228079,0.73682291,0.83423577,0.86578368,0.81663426,0.74220612,0.59688261,0.74254264,0.68005282,0.87778645,0.81376605,Level 3,41,0.84691368,0.75908398,0.88004381,0.90161326,0.8736586,CM0902,Level 3,46.0,0.79637106,0.66056252,0.88246696,0.84608371,0.7461052
Office of International Affairs and Seafood Inspection,CM090207,Level 3,44,0.73,0.61,0.85,0.71,0.68,0.57,0.65,0.72,0.67,0.5,0.65,0.72,0.86,0.63,0.69,Level 3,14,0.65,0.61,0.63,0.71,0.64,0.43,0.6,0.55,0.54,0.3,0.52,0.67,0.66,0.56,0.57,Level 3,21,0.7,0.61,0.78,0.72,0.69,0.65,0.43,0.66,0.72,0.81,0.65,0.65,0.51,0.63,0.69,Level 3,83,0.78634756,0.71038632,0.87003413,0.77862222,0.75834898,0.71067365,0.56301379,0.69257159,0.72886597,0.86970615,0.69921075,Level 3,75,0.72478204,0.57261746,0.81660762,0.78512104,0.68459498,0.66868623,0.52304086,0.62635152,0.63724926,0.85754486,0.69924464,Level 3,56,0.70106874,0.57337759,0.77768616,0.75214249,0.66111715,CM0902,Level 3,41.0,0.68710312,0.60260748,0.75861749,0.70008438,0.61195451
Office of Law Enforcement,CM090208,Level 3,33,0.56,0.44,0.65,0.58,0.52,0.52,0.52,0.57,0.54,0.42,0.54,0.53,0.71,0.49,0.55,Level 3,35,0.62,0.42,0.72,0.71,0.52,0.49,0.51,0.7,0.53,0.38,0.52,0.43,0.76,0.54,0.6,Level 3,25,0.8,0.73,0.9,0.78,0.73,0.72,0.62,0.7,0.74,0.92,0.62,0.75,0.7,0.73,0.82,Level 3,103,0.77552802,0.67637462,0.85245063,0.79775882,0.7939394,0.705832,0.57246967,0.71473035,0.66298462,0.8753864,0.70358894,Level 3,72,0.79901318,0.70727719,0.88062879,0.80913355,0.81449349,0.73492607,0.63729887,0.71623562,0.6762041,0.90901694,0.73587481,Level 3,105,0.7682735,0.68554887,0.82825351,0.79101812,0.81541576,CM0902,Level 3,78.0,0.76145326,0.65812525,0.83498035,0.79125419,0.7221569
Greater Atlantic Region,CM090209,Level 3,36,0.75,0.62,0.87,0.76,0.69,0.69,0.69,0.75,0.7,0.63,0.72,0.62,0.88,0.65,0.84,Level 3,61,0.73,0.63,0.83,0.74,0.7,0.62,0.66,0.71,0.64,0.54,0.64,0.53,0.87,0.64,0.73,Level 3,56,0.71,0.62,0.81,0.7,0.72,0.63,0.52,0.63,0.52,0.88,0.6,0.67,0.61,0.62,0.65,Level 3,105,0.72917195,0.64805675,0.75435087,0.78510821,0.72762663,0.63969088,0.51087325,0.59441938,0.59718473,0.82879317,0.66718388,Level 3,106,0.7160036,0.60933595,0.76804271,0.77063213,0.69975388,0.65433557,0.5261626,0.63969938,0.61801711,0.83633824,0.65146051,Level 3,94,0.74846027,0.63404361,0.82920517,0.78213202,0.72055904,CM0902,Level 3,107.0,0.74582444,0.61715277,0.82753828,0.79278226,0.6747765
Southeast Region,CM090210,Level 3,42,0.64,0.56,0.63,0.72,0.6,0.5,0.51,0.66,0.53,0.36,0.5,0.52,0.74,0.51,0.66,Level 3,39,0.69,0.57,0.75,0.74,0.61,0.57,0.62,0.67,0.6,0.43,0.57,0.58,0.8,0.64,0.63,Level 3,50,0.72,0.61,0.79,0.77,0.62,0.63,0.47,0.63,0.6,0.83,0.61,0.65,0.58,0.58,0.69,Level 3,96,0.64197855,0.48913972,0.74539621,0.69139973,0.56980542,0.5577705,0.44762467,0.5242902,0.48916026,0.80212399,0.52565336,Level 3,87,0.67434619,0.48927136,0.80315314,0.73061406,0.60818958,0.61156164,0.45927788,0.59995331,0.553373,0.84005776,0.60514627,Level 3,79,0.79155552,0.65694289,0.86641501,0.85130867,0.75376358,CM0902,Level 3,75.0,0.73287358,0.59520196,0.82116214,0.78225664,0.63414551
West Coast Region,CM090211,Level 3,51,0.64,0.56,0.69,0.67,0.59,0.52,0.49,0.61,0.58,0.47,0.51,0.64,0.76,0.52,0.65,Level 3,47,0.68,0.61,0.75,0.68,0.61,0.54,0.57,0.66,0.6,0.48,0.55,0.6,0.8,0.57,0.68,Level 3,45,0.77,0.7,0.85,0.76,0.73,0.7,0.6,0.63,0.7,0.92,0.64,0.73,0.64,0.67,0.69,Level 3,205,0.73650003,0.66070739,0.82556559,0.72322711,0.72702401,0.66838323,0.54644822,0.63480811,0.66571734,0.86659208,0.62835039,Level 3,161,0.75755281,0.66498728,0.83590156,0.77176958,0.74073088,0.70305122,0.57362458,0.68237414,0.71866738,0.86819379,0.67239619,Level 3,174,0.80492117,0.74931402,0.85676478,0.80868472,0.79220505,CM0902,Level 3,146.0,0.79898853,0.69696235,0.89601196,0.80399129,0.70580735
Alaska Region,CM090212,Level 3,40,0.58,0.36,0.68,0.69,0.48,0.5,0.52,0.66,0.51,0.37,0.44,0.44,0.76,0.55,0.64,Level 3,30,0.53,0.26,0.7,0.63,0.44,0.47,0.54,0.62,0.49,0.37,0.43,0.39,0.77,0.47,0.61,Level 3,31,0.62,0.41,0.8,0.65,0.7,0.54,0.39,0.47,0.45,0.83,0.53,0.55,0.52,0.56,0.68,Level 3,74,0.66934843,0.47890713,0.75920564,0.76993253,0.74596114,0.5663524,0.42510788,0.51659892,0.47089523,0.78642261,0.63273737,Level 3,67,0.7099649,0.50531478,0.82908849,0.79549142,0.77291166,0.623525,0.45251977,0.54200404,0.5930504,0.82768538,0.70236543,Level 3,62,0.70658506,0.54877401,0.81225117,0.75873,0.75503895,CM0902,Level 3,73.0,0.69841883,0.59394943,0.77950913,0.72179792,0.66040269
